USA SOFTBALL TESTING & CERTIFICATION PROGRAM,,,,
Certified Bats,,,,
#ERROR!,Click here to select all by type,,,
,,,,
,,,,
Type,Manufacturer,Model,Description,"Last
Update"
,Easton,SP12SV98,Salvo Comp 98,9/22/2011
,Easton,SP12SVC,Salvo CXN 98,12/5/2011
,Easton,SP12SVM,Salvo Multi-Wall 98,9/22/2011
,Easton,SP12SVS,Salvo Scandium 98,9/22/2011
,Easton,SP12SY98,Synergy 98,9/22/2011
,Easton,SP12SY98H,Synergy 98 Helmer,9/22/2011
,Easton,SP13B3.0,B3.0,12/19/2012
,Easton,SP13CY,Cyclone,6/19/2012
,Easton,SP13HM,Hammer,6/19/2012
,Easton,SP13L4.0,L4.0,12/19/2012
,Easton,SP13L6.0,L6.0,12/19/2012
,Easton,SP13L7,L7.0,9/6/2012
,Easton,SP13L8,L8.0,9/6/2012
,Easton,SP13L9,L9.0,9/6/2012
,Easton,SP13RX,Reflex,6/19/2012
,Easton,SP13S1,S1,9/6/2012
,Easton,SP13S2,S2,9/6/2012
,Easton,SP13X2,XL2,9/6/2012
,Easton,SP14B3,B3.0,10/23/2013
,Easton,SP14B4,B4.0,10/23/2013
,Easton,SP14BX,BX.0,11/20/2014
,Easton,SP14L3,L3.0,10/23/2013
,Easton,SP14L4,L4.0,10/23/2013
,Easton,SP14L4C,L4.0 C,5/8/2014
,Easton,SP14L4US,L4.0 US,5/8/2014
,Easton,SP14L6,L6.0,10/23/2013
,Easton,SP14LX,LX.0,10/23/2013
,Easton,SP14S300,S300,7/2/2013
,Easton,SP14S50,S50,7/2/2013
,Easton,SP14S500,S500,7/2/2013
,Easton,SP14S51,S51,1/21/2016
,Easton,SP14S52,S52,1/21/2016
,Easton,SP15BBA,RP Baker Bal,11/20/2014
,Easton,SP15BWA,RP Wegman Load,11/20/2014
,Easton,SP15MBA,Mako Torq Helmer Balance,3/26/2015
,Easton,SP15MKA,Mako Real Tree Loaded,3/26/2015
,Easton,SP15MLA,Mako Torq Helmer Loaded,3/26/2015
,Easton,SP15SKA,RP Kirby Load,11/20/2014
,Easton,SP15SPCAU,SPC,11/20/2014
,Easton,SP15SSTEA,SIS Team Lded,5/2/2016
,Easton,SP15SVA,Salvo Load,11/20/2014
,Easton,SP15SVAU,Salvo Bal,11/20/2014
,Easton,SP15SVS,Salvo Bal,11/20/2014
,Easton,SP16BBA,Bryson Baker Balanced,1/21/2016
,Easton,SP16BHA,Mako Torq Helmer Loaded,1/21/2016
,Easton,SP16BHFXA,Helmer Flex,5/2/2016
,Easton,SP16BSUA,Bomb Squad LB Loaded,1/21/2016
,Easton,SP16BWA,Brian Wegman Loaded,1/21/2016
,Easton,SP16MBA,Mako Torq Balanced,1/21/2016
,Easton,SP16MLA,Mako Torq Loaded,1/21/2016
,Easton,SP16RKA,Reckoning,5/2/2016
,Easton,SP16RKUA,Reckoning,5/2/2016
,Easton,SP16S300,S300,1/21/2016
,Easton,SP16S50,S50,1/21/2016
,Easton,SP16S500,S500,1/21/2016
,Easton,SP16SKA,Scott Kirby Loaded,1/21/2016
,Easton,SP17BBA,Baker Flex,10/27/2016
,Easton,SP17BHA,Helmer Load ASA,1/16/2017
,Easton,SP17BWA,Wegman Load ASA,10/27/2016
,Easton,SP17HM,Hammer,5/21/2019
,Easton,SP17R1ACAD,RONIN 1PC,10/27/2016
,Easton,SP17R1UA,RONIN 1PC,10/27/2016
,Easton,SP17R2UA,RONIN 2PC,10/27/2016
,Easton,SP17RAFGLUA,Ronin 1 pc,1/17/2017
,Easton,SP17RAUA,Ronin 1 PC Alloy,1/17/2017
,Easton,SP17RB,Rebel,5/22/2018
,Easton,SP17RV,Rival,5/21/2019
,Easton,SP18AUTW,Autism,4/19/2018
,Easton,SP18BHA,Helmer Blueline,6/15/2018
,Easton,SP18BHBB,Helmer Border Battle,4/19/2018
,Easton,SP18GH,Ghost,8/22/2017
,Easton,SP18GH12,Ghost,2/12/2018
,Easton,SP18R1L,Ronin 1pc Loaded,2/12/2018
,Easton,SP18R1UA,Ronin Flex 1pc,2/12/2018
,Easton,SP18R2UA,Ronin Flex 2pc,2/12/2018
,Easton,SP18RAUA,Ronin ATAC,2/12/2018
,Easton,SP18TCA,Travis Clark,4/19/2018
,Easton,SP19AUTA,Autisim,6/23/2021
,Easton,SP19BOO,BOO,1/6/2021
,Easton,SP19GH,Ghost 2,4/17/2019
,Easton,SP20GHRES,Ghost Resmondo,10/23/2020
,Easton,SP20USA125,Patriotic,4/1/2021
,Easton,SP20USA135,Patriotic,4/23/2021
,Easton,SP21GHRWB,Ghost RWB,6/23/2021
,Easton,SP21GHSAL,Ghost Salvo,6/23/2021
,Easton,SP21HM,Hammer,11/5/2021
,Easton,SP21RA1,Ronin 1pc,2/4/2020
,Easton,SP21RA240,Ronin240 1PC,11/5/2021
,Easton,SP21RB,Rebel,11/5/2021
,Easton,SP21RF1,Ronin Flex 1pc,2/4/2020
,Easton,SP21RF2,Ronin Flex 2pc,2/4/2020
,Easton,SP21RV,Rival Allow,6/23/2021
,Easton,SP21ZAPL,Ghost ZAP,6/23/2021
,Easton,SP22ARGHL,Comic ARGH,3/4/2022
,Easton,SP22BCP,BellCorp,7/1/2022
,Easton,SP22BDM,Dunn Deal MidLoad,7/1/2022
,Easton,SP22CATM,Hellcat,3/4/2022
,Easton,SP22GHML,Ghostmondo Load,11/5/2021
,Easton,SP22GML,Ghostmondo EXT,11/5/2021
,Easton,SP22MOJOL,Mojo 1PC,11/5/2021
,Easton,SP22OBB,Obscura Balanced,8/11/2022
,Easton,SP22OBL,Obscura Loaded,8/11/2022
,Easton,SP22ZWAPL,Comic ZWAP,3/4/2022
,Easton,SP23GHML,Ghost Mondo Loaded,8/11/2022
,Easton,SP23HRLA,Resmondo,7/1/2022
,Easton,SP23OBB,Obscura Balanced,8/11/2022
,Easton,SP23OBLA,Obscura Loaded,8/11/2022
,Easton,SP23SMKAL,Comic Smack,3/4/2022
,Easton,SP9,Hammer,4/9/2012
,Easton,SPB135L,Combat B1,7/1/2022
,Easton,SPM13B,Mako,4/26/2022
,Easton,SPP9,,8/13/2008
,Easton,SPS12X,Stealth 12,7/1/2022
,Easton,SPS14L,Stealth 14,7/1/2022
,Easton,SPSAL1L,Salvo 1PC,11/5/2021
,Easton,SPSAL1LE,Salvo 1PC 13.5,11/5/2021
,Easton,SPSAL2L,Salvo 2PC 13.5,3/18/2023
,Easton,SRV1,Synergy Reveal,10/10/2008
,Easton,SRV15B,Synge,12/22/2010
,Easton,SRV1B,Clarity -10,10/10/2008
,Easton,SRV2,Synergy Reveal BH,10/10/2008
,Easton,SRV2B,,10/7/2008
,Easton,SRV2B,,8/20/2008
,Easton,SRV3,Synergy,12/7/2009
,Easton,SRV31,Synergy BH,12/22/2010
,Easton,SRV3B,,10/7/2008
,Easton,SRV3B,Synergy Clarity -8,10/10/2008
,Easton,SRV4,Synergy,1/13/2010
,Easton,SRV4B,Synergy,10/13/2009
,Easton,SRV5,Salvo,3/23/2010
,Easton,SRV51,EOS,8/8/2011
,Easton,SRV5B,Synergy,2/24/2010
,Easton,SRV6B,Synge,12/7/2009
,Easton,SRV6BH,Synergy,12/22/2010
,Easton,SRX1-C,Reflex Ultra C-Core Schuck,8/21/2008
,Easton,SRX100-C,Reflex C-Core,8/21/2008
,Easton,SRX100-CBX,Reflex C-Core,8/13/2008
,Easton,SRX100-CX,Reflex C-Core,8/13/2008
,Easton,SRX10SCX,Reflex Sheila Cornel,8/13/2008
,Easton,SRX2-C,,8/21/2008
,Easton,SRX2DS,Reflex Ultra Dan,8/21/2008
,Easton,SRX2SC,Reflex Ultra-Sheila Douty,8/13/2008
,Easton,SRX4,,8/13/2008
,Easton,SRX4B,,8/13/2008
,Easton,SRX9DS,Reflex Dan Schuck,8/13/2008
,Easton,SRX9DSX,Reflex Dan Schuck,8/13/2008
,Easton,SRX9G,Refelx Gold,8/13/2008
,Easton,SRX9G,Reflex Todd Joerling,8/13/2008
,Easton,SRX9GX,Reflex Todd Joerling,8/13/2008
,Easton,SRX9SC,Reflex Sheila Cornell,8/13/2008
,Easton,SSR1,Stealth Reveal,10/10/2008
,Easton,SSR1B,,8/20/2008
,Easton,SSR1B,Stealth Clarity -10,10/10/2008
,Easton,SSR2,Stealth,1/13/2010
,Easton,SSR2B,Stealth Clarity -9,10/10/2008
,Easton,SSR3B,Stealth,10/13/2009
,Easton,SSR4,Stealth,12/22/2010
,Easton,SSR4B,Stealth,1/13/2010
,Easton,SSRV2,Stealth,3/24/2010
,Easton,SST1,,8/21/2008
,Easton,SST1B,,8/21/2008
,Easton,SST3,Stealth,8/21/2008
,Easton,SST3B,Stealth,8/21/2008
,Easton,SST6,Stealth CNT,8/21/2008
,Easton,SST6B,STEALTH CNT Fast Pitch,8/21/2008
,Easton,SST9B,Stealth CNT FP,3/24/2010
,Easton,SSV1,SV12-65 Flex,8/21/2008
,Easton,SSV1B,SV12-65 Flex -11.5,8/13/2008
,Easton,SSV2,SV12 Ozone Power,3/24/2010
,Easton,SSV2B,SV12 Ozone Power -11.5,3/24/2010
,Easton,ST1-Z,Connexion Z-Core,8/13/2008
,Easton,ST1-ZB,Connexion Z-Core,8/13/2008
,Easton,ST10,ConneXion,8/21/2008
,Easton,ST100ZB,,8/13/2008
,Easton,ST110B,,8/21/2008
,Easton,ST115,,8/13/2008
,Easton,ST2-Z,,8/13/2008
,Easton,ST2-ZB,,8/13/2008
,Easton,ST200B,CXN,8/21/2008
,Easton,ST250B,CXN COMP Fast Pitch,8/21/2008
,Easton,ST260,Quantum Sc900 CxN,8/21/2008
,Easton,ST260B,Quantum Sc900 CxN -11.5,8/13/2008
,Easton,ST3,,8/21/2008
,Easton,ST3-B,,8/21/2008
,Easton,ST300,CXN,8/21/2008
,Easton,ST360 Redline SMU,,8/13/2008
,Easton,ST5-Z,,8/13/2008
,Easton,ST5-ZB,,8/13/2008
,Easton,ST6B,,8/21/2008
,Easton,ST7-Z,ConneXion Z-Core Sc777,8/13/2008
,Easton,ST7-ZB,ConneXion Sc777,8/13/2008
,Easton,ST8-Z,,8/13/2008
,Easton,ST8-ZB,,8/13/2008
,Easton,STS1,Tri-Shell,8/13/2008
,Easton,STS2,Tri-Shell,8/13/2008
,Easton,STS3,Tri-Shell,8/13/2008
,Easton,STS4,Tri-Shell,8/13/2008
,Easton,STS5-B,Tri-Shell,8/13/2008
,Easton,STS6,Tri-Shell,8/13/2008
,Easton,STS7B,,8/21/2008
,Easton,SV1,V12- 100 Flex,8/13/2008
,Easton,SV1B,V12-100 Flex -12.5,8/13/2008
,Easton,SV2,V12 Ozone Power,3/24/2010
,Easton,SV22EXT,SV22 Extended,9/14/2011
,Easton,SV2B,V12 Ozone Power -12.5,3/24/2010
,Easton,SV3,Rival,3/23/2010
,Easton,SX10,,8/13/2008
,Easton,SX100,,8/21/2008
,Easton,SX10T,,8/21/2008
,Easton,SX18,,8/21/2008
,Easton,SX1T,,8/21/2008
,Easton,SX2,,8/21/2008
,Easton,SX20,,8/13/2008
,Easton,SX24,React 24,8/13/2008
,Easton,SX30,,8/13/2008
,Easton,SX35,,8/13/2008
,Easton,SX380,Connexion,3/22/2012
,Easton,SX40,Reflex 7050,8/13/2008
,Easton,SX40B,Reflex 7050,8/21/2008
,Easton,SX45BP,Rampage,8/13/2008
,Easton,SX50,React 50,8/13/2008
,Easton,SX50,Reflex,8/13/2008
,Easton,SX50B,,8/13/2008
,Easton,SX51,Black Magic,8/13/2008
,Easton,SX51B,Reflex,8/21/2008
,Easton,SX55,React 55,8/13/2008
,Easton,SX56,Black Magic,8/13/2008
,Easton,SX60,Reflex,8/13/2008
,Easton,SX60B,Reflex -11.5,8/13/2008
,Easton,SX65B,Rampage -11.5,8/13/2008
,Easton,SX66B,Mystique -11.5,3/24/2010
,Easton,SX67B,Mystique -11.5,5/26/2011
,Easton,SX7,,8/21/2008
,Easton,SX70,Reflex,8/13/2008
,Easton,SX70B,Reflex -12,8/13/2008
,Easton,SX71,,8/13/2008
,Easton,SX71,Reflex,3/23/2010
,Easton,SX72,Reflex,5/26/2011
,Easton,SX75,Redline,12/22/2010
,Easton,SX80-C,C-Core,8/13/2008
,Easton,SX80B,Reflex -12,3/24/2010
,Easton,SX81,,8/13/2008
,Easton,SX81B,Reflex -12,3/23/2010
,Easton,SX82B,Atmos -12,5/26/2011
,Easton,SX91,,8/13/2008
,Easton,SX95,,8/13/2008
,Easton,SX95,React 95,8/13/2008
,Easton,SZ1-C,Redline C-Core,8/13/2008
,Easton,SZ1-CB,Redline C-Core,8/13/2008
,Easton,SZ10,,8/13/2008
,Easton,SZ100,Rebel,8/13/2008
,Easton,SZ100B,Fast Pitch Rebel -12,8/13/2008
,Easton,SZ11,Redline 11,8/21/2008
,Easton,SZ110B,Impact -12.5,8/13/2008
,Easton,SZ111,Hyperlaunch,12/22/2010
,Easton,SZ20B,Redline C500,8/13/2008
,Easton,SZ3,Redline Sunbelt,8/13/2008
,Easton,SZ4,Redline USA,8/13/2008
,Easton,SZ5-Z,Redline Z-Core,8/13/2008
,Easton,SZ5-ZB,Redline Z-Core,8/13/2008
,Easton,SZ6-T,Ti-Core,8/13/2008
,Easton,SZ7,Redline Sunbelt,8/13/2008
,Easton,SZ70-Z,,8/13/2008
,Easton,SZ70-ZB,,8/13/2008
,Easton,SZ700,Triple 7 SP,8/21/2008
,Easton,SZ700B,Triple 7 FP,8/21/2008
,Easton,SZ71-Z,Z-Core Sc777,8/13/2008
,Easton,SZ71-ZB,Z-Core Sc777,8/13/2008
,Easton,SZ73-ZB,Z-Corej,8/13/2008
,Easton,SZ77,,8/13/2008
,Easton,SZ77-B,,8/13/2008
,Easton,SZ8-C,Redline C-Core,8/21/2008
,Easton,SZ8-CB,Redline C-Core,8/13/2008
,Easton,SZ800,,8/21/2008
,Easton,SZ800-B,,8/21/2008
,Easton,SZ810,Havoc,8/13/2008
,Easton,SZ810B,Havoc,8/21/2008
,Easton,SZ87,Triple 7 Sc777,8/21/2008
,Easton,SZ87B,Triple 7 Sc777,8/21/2008
,Easton,SZ9,,8/21/2008
,Easton,SZ9-B,Rebel,8/13/2008
,Easton,SZ900,Havoc,8/13/2008
,Easton,SZ900B,Havoc,8/13/2008
,Easton,SZ910B,Havoc,8/13/2008
,Gates Sports Company,GSCAS1,Spirit,2/8/2011
,JawBats,JFP1CCE,EVO1,10/2/2024
,Kelley USA,N Fuego,Fast Pitch,8/13/2008
,Louisville Slugger,AFP21,,8/13/2008
,Louisville Slugger,AFPS104,,8/13/2008
,Louisville Slugger,ASB39AS,Grand Slam,8/13/2008
,Louisville Slugger,BFSB,,8/13/2008
,Louisville Slugger,CFP103,TPS Gen1X,8/19/2008
,Louisville Slugger,CFP12,,8/13/2008
,Louisville Slugger,CFP13,,8/13/2008
,Louisville Slugger,CFP14,,8/13/2008
,Louisville Slugger,CFP15,,8/13/2008
,Louisville Slugger,CFP17,,8/13/2008
,Louisville Slugger,CFP18,,8/13/2008
,Louisville Slugger,CFP19,,8/13/2008
,Louisville Slugger,CFP23,,8/13/2008
,Louisville Slugger,CFP25,,8/13/2008
,Louisville Slugger,CFP26,,8/13/2008
,Louisville Slugger,CFP27,,8/13/2008
,Louisville Slugger,CFP28,,8/13/2008
,Louisville Slugger,CFP28A,,8/13/2008
,Louisville Slugger,CFP503,,8/13/2008
,Louisville Slugger,CFPKR10-25V,2025 Custom Kyro (-10),11/18/2023
,Louisville Slugger,CFPKR10-26V,2026 Custom Kryo (-10),11/19/2024
,Louisville Slugger,CFPKR11-25V,2025 Custom Kyro (-11),11/18/2023
,Louisville Slugger,CFPKR11-26V,2026 Custom Kryo (-11),11/19/2024
,Louisville Slugger,CFPKR210-27V,2027 CUSTOM KRYO2 (-10),2/16/2026
,Louisville Slugger,CFPKR210-27V,2027 CUSTOM KRYO2 (-10),11/16/2025
,Louisville Slugger,CFPKR211-27V,2027 CUSTOM KRYO2 (-11),11/16/2025
,Louisville Slugger,CFPKR29-27V,2027 CUSTOM KRYO2 (-9),11/16/2025
,Louisville Slugger,CFPKR9-25V,2025 Custom Kyro (-9),11/18/2023
,Louisville Slugger,CFPKR9-26V,2026 Custom Kryo (-9),11/19/2024
,Louisville Slugger,CFPKRO10-27V,2027 CUSTOM KRYO ONE (-10),2/16/2026
,Louisville Slugger,CFPKRO11-27V,2027 CUSTOM KRYO ONE (-11),2/16/2026
,Louisville Slugger,CFPKRO9-27V,2027 CUSTOM KRYO ONE (-9),2/16/2026
,Louisville Slugger,CFPLX10-20V,LXT X20 (-10) Custom,3/18/2019
,Louisville Slugger,CFPLX10-21V,LXT (-10) Custom,3/27/2020
,Louisville Slugger,CFPLX10-22V,LXT (-10) CUSTOM,3/4/2022
,Louisville Slugger,CFPLX10-24V,LXT (-10) Custom,5/13/2023
,Louisville Slugger,CFPLX10-25V,2025 Custom LXT (-10),11/18/2023
,Louisville Slugger,CFPLX10-26V,2026 Custom LX3 (-10),11/19/2024
,Louisville Slugger,CFPLX11-20V,LXT X20 (-11) Custom,3/18/2019
,Louisville Slugger,CFPLX11-21V,LXT (-11) Custom,3/27/2020
,Louisville Slugger,CFPLX11-22V,LXT (-11) Custom,8/17/2022
,Louisville Slugger,CFPLX11-24V,LXT (-11) Custom,5/13/2023
,Louisville Slugger,CFPLX11-25V,2025 Custom LXT (-11),11/18/2023
,Louisville Slugger,CFPLX11-26V,2026 Custom LX3 (-11),11/19/2024
,Louisville Slugger,CFPLX8-20V,LXT X20 (-8) Custom,3/18/2019
,Louisville Slugger,CFPLX8-21V,LXT (-8) Custom,3/27/2020
,Louisville Slugger,CFPLX8-22V,LXT (-8) CUSTOM,3/4/2022
,Louisville Slugger,CFPLX8-24V,LXT (-8) Custom,5/13/2023
,Louisville Slugger,CFPLX9-20V,LXT X20 (-9) Custom,7/19/2019
,Louisville Slugger,CFPLX9-21V,LXT (-9) Custom,3/27/2020
,Louisville Slugger,CFPLX9-22V,LXT (-9) CUSTOM,3/4/2022
,Louisville Slugger,CFPLX9-24V,LXT (-9) Custom,5/13/2023
,Louisville Slugger,CFPLX9-25V,2025 Custom LXT (-9),11/18/2023
,Louisville Slugger,CFPLX9-26V,2026 Custom LX3 (-9),11/19/2024
,Louisville Slugger,CFPM10-22V,Meta (-10) Custom,3/4/2022
,Louisville Slugger,CFPMX10-22V,Meta (-10) Custom,3/4/2022
,Louisville Slugger,CFPMX10-23V,Meta FP (-10) Custom,5/13/2023
,Louisville Slugger,CFPMX11-22V,Meta (-11) Custom,3/4/2022
,Louisville Slugger,CFPMX11-23V,Meta FP (-11) Custom,3/13/2024
,Louisville Slugger,CFPMX8-22V,Meta (-8) Custom,3/4/2022
,Louisville Slugger,CFPMX9-22V,Meta (-9) Custom,3/4/2022
,Louisville Slugger,CFPMX9-22V,Meta (-9) Custom,3/4/2022
,Louisville Slugger,CFPMX9-23V,Meta FP (-9) Custom,5/13/2023
,Louisville Slugger,CPLX11-22,LXT (-11) CUSTOM,3/4/2022
,Louisville Slugger,CSPTPZAB-20,TPZ ASA Balanced,9/12/2019
,Louisville Slugger,CSPTPZAE-20,TPZ ASA Endload,9/12/2019
,Louisville Slugger,FBLX14-RR,LXT,7/24/2013
,Louisville Slugger,FBXN14-RR,Xeno,7/24/2013
,Louisville Slugger,FBXN152,Xeno,3/31/2014
,Louisville Slugger,FBXN162,Xeno Plus,3/4/2015
,Louisville Slugger,FP004,,8/13/2008
,Louisville Slugger,FP1,Lisa Fernandez Model,8/13/2008
,Louisville Slugger,FP103,,8/19/2008
,Louisville Slugger,FP104,Air Response,8/19/2008
,Louisville Slugger,FP105,,8/13/2008
,Louisville Slugger,FP106,TPS Dynasty,8/13/2008
,Louisville Slugger,FP11C,TPS Catalyst X-1,1/7/2010
,Louisville Slugger,FP11C2,TPS Catalyst X-1,1/7/2010
,Louisville Slugger,FP11H2,TPS H2,4/13/2010
,Louisville Slugger,FP11H28,TPS H28,4/13/2010
,Louisville Slugger,FP11Q,TPS Quest,4/13/2010
,Louisville Slugger,FP11TB,TPS Catalyst,4/13/2010
,Louisville Slugger,FP11X,TPS Xeno (-10),4/13/2010
,Louisville Slugger,FP11X8,TPS Xeno (-8),6/10/2010
,Louisville Slugger,FP11X9,TPS Xeno (-9),4/13/2010
,Louisville Slugger,FP11Y,TPS Mystic,4/13/2010
,Louisville Slugger,FP12,Air Attack 2,8/19/2008
,Louisville Slugger,FP12C,Catalyst (-10),5/4/2011
,Louisville Slugger,FP12C2,Catalyst (-12),5/4/2011
,Louisville Slugger,FP12C3,Catalyst (-13),5/4/2011
,Louisville Slugger,FP12CY,TPS Catalyst,7/27/2011
,Louisville Slugger,FP12DY,TPS Diva,2/20/2012
,Louisville Slugger,FP12EI,TPS Catalyst,2/20/2012
,Louisville Slugger,FP12M,Mendoza,5/4/2011
,Louisville Slugger,FP12P,TPS Peace,5/4/2011
,Louisville Slugger,FP12Q,TPS Quest,5/4/2011
,Louisville Slugger,FP12R,TPS Miracle,7/27/2011
,Louisville Slugger,FP12S,Spark,5/4/2011
,Louisville Slugger,FP12S,TPS Spark,7/27/2011
,Louisville Slugger,FP12X,Xeno (-10),5/4/2011
,Louisville Slugger,FP12X8,Xeno (-8),5/4/2011
,Louisville Slugger,FP12X9,Xeno (-9),5/4/2011
,Louisville Slugger,FP12XTB,Xeno,5/4/2011
,Louisville Slugger,FP12Y,TPS Mystic,5/4/2011
,Louisville Slugger,FP12Z,Zephyr,5/4/2011
,Louisville Slugger,FP13,TPS Bottle Bat Collegiate Series,8/13/2008
,Louisville Slugger,FP13M,TPS Mendoza (-13),5/25/2012
,Louisville Slugger,FP13M2,TPS M2 Pride (-12),5/25/2012
,Louisville Slugger,FP13X,TPS Xeno (-10),5/23/2012
,Louisville Slugger,FP13X8,TPS Xeno (-8),5/23/2012
,Louisville Slugger,FP13X9,TPS Xeno (-9),5/23/2012
,Louisville Slugger,FP13Z,TPS Zephyr,6/19/2012
,Louisville Slugger,FP14,Dot Richardson Model,8/19/2008
,Louisville Slugger,FP15,TPS Burgandy Bottle Bat,8/19/2008
,Louisville Slugger,FP17,TPS C555,8/19/2008
,Louisville Slugger,FP18,TPS Air Attack 3 Lisa Fernandez,8/13/2008
,Louisville Slugger,FP19,TPS Bottle Bat Dot Richardson,8/13/2008
,Louisville Slugger,FP2,Dot Richardson,8/13/2008
,Louisville Slugger,FP20,Lisa Fernandez Model,8/13/2008
,Louisville Slugger,FP203,,8/19/2008
,Louisville Slugger,FP204,Response,8/13/2008
,Louisville Slugger,FP204P,Response,8/19/2008
,Louisville Slugger,FP205,,8/19/2008
,Louisville Slugger,FP206,TPS Scandium XS,8/13/2008
,Louisville Slugger,FP21,Dot Richardson Model,8/13/2008
,Louisville Slugger,FP22,Louisville Slugger Youth Softball,8/13/2008
,Louisville Slugger,FP23,,8/13/2008
,Louisville Slugger,FP25,,8/13/2008
,Louisville Slugger,FP26,,8/13/2008
,Louisville Slugger,FP27,,8/13/2008
,Louisville Slugger,FP28,,8/13/2008
,Louisville Slugger,FP29,,8/13/2008
,Louisville Slugger,FP3,Model,8/13/2008
,Louisville Slugger,FP30,,8/13/2008
,Louisville Slugger,FP303,,8/19/2008
,Louisville Slugger,FP305,,8/19/2008
,Louisville Slugger,FP306,TPS Deuce,8/19/2008
,Louisville Slugger,FP32,,8/19/2008
,Louisville Slugger,FP35,,8/13/2008
,Louisville Slugger,FP36,,8/13/2008
,Louisville Slugger,FP37,,8/13/2008
,Louisville Slugger,FP38,,8/13/2008
,Louisville Slugger,FP39,,8/13/2008
,Louisville Slugger,FP4,Flag,8/13/2008
,Louisville Slugger,FP40,,8/13/2008
,Louisville Slugger,FP403,,8/19/2008
,Louisville Slugger,FP404,,8/19/2008
,Louisville Slugger,FP405,,8/13/2008
,Louisville Slugger,FP406,TPS Burgandy,8/13/2008
,Louisville Slugger,FP5,Burgandy Bottle,8/13/2008
,Louisville Slugger,FP503,TPS Gen1X XXL,6/14/2007
,Louisville Slugger,FP504,Air Scandium XS,8/19/2008
,Louisville Slugger,FP505,Burgandy,8/13/2008
,Louisville Slugger,FP603,TPS Softball,8/19/2008
,Louisville Slugger,FP604,,8/19/2008
,Louisville Slugger,FP605,Lisa,8/19/2008
,Louisville Slugger,FP7,Air Attack,8/13/2008
,Louisville Slugger,FP703,,8/19/2008
,Louisville Slugger,FP704,,8/19/2008
,Louisville Slugger,FP705,,8/19/2008
,Louisville Slugger,FP710G,Genesis,8/19/2008
,Louisville Slugger,FP71C,TPS Catalyst,8/19/2008
,Louisville Slugger,FP72C,Catalyst 2,8/13/2008
,Louisville Slugger,FP73D,TPS Dynasty,8/19/2008
,Louisville Slugger,FP74M,,8/19/2008
,Louisville Slugger,FP75O,Odyssey,8/19/2008
,Louisville Slugger,FP77W,TPS Warrior,8/19/2008
,Louisville Slugger,FP78S,Samurai,8/19/2008
,Louisville Slugger,FP79M,Fast Pitch,8/19/2008
,Louisville Slugger,FP8,Lisa & Dot,8/13/2008
,Louisville Slugger,FP803,,8/19/2008
,Louisville Slugger,FP804,,8/19/2008
,Louisville Slugger,FP805,,8/13/2008
,Louisville Slugger,FP806,Grand Slam,8/13/2008
,Louisville Slugger,FP810GP,,8/13/2008
,Louisville Slugger,FP811C,TPS Catalyst,8/19/2008
,Louisville Slugger,FP81C,,8/13/2008
,Louisville Slugger,FP82C,,8/13/2008
,Louisville Slugger,FP83C,,8/19/2008
,Louisville Slugger,FP84X,TPS Exogrid,8/19/2008
,Louisville Slugger,FP85Z,,8/13/2008
,Louisville Slugger,FP86H,TPS Mendoza,11/30/2009
,Louisville Slugger,FP86M,TPS Mendoza,8/13/2008
,Louisville Slugger,FP87,TPS Odyssey,8/19/2008
,Louisville Slugger,FP88F,TPS Fastpitch,8/19/2008
,Louisville Slugger,FP89TB,TPS Mendoza,8/13/2008
,Louisville Slugger,FP904,,8/19/2008
,Louisville Slugger,FP91T,,11/18/2008
,Louisville Slugger,FP91T,TPS Triton,11/19/2008
,Louisville Slugger,FP93T,TPS Triton,11/19/2008
,Louisville Slugger,FP94C,TPS Catalyst,11/30/2009
,Louisville Slugger,FP95,Fastpitch,11/19/2008
,Louisville Slugger,FP96TB,Triton,11/19/2008
,Louisville Slugger,FP99GP,Girl Power,11/19/2008
,Louisville Slugger,FP9D,TPS Dynasty,11/30/2009
,Louisville Slugger,FP9H2,,1/13/2009
,Louisville Slugger,FP9H28,,1/13/2009
,Louisville Slugger,FP9H29,TPS蓬2,12/1/2009
,Louisville Slugger,FPACD12-27,2027 ASCENT (-12),11/11/2025
,Louisville Slugger,FPAUD12-27,2027 AURA (-12),2/13/2026
,Louisville Slugger,FPC105,,8/19/2008
,Louisville Slugger,FPC205,Catalyst,8/13/2008
,Louisville Slugger,FPD11,TPS Dynasty,8/12/2011
,Louisville Slugger,FPDV14-RR,Diva,7/24/2013
,Louisville Slugger,FPDV151,Diva,3/31/2014
,Louisville Slugger,FPDV18A115,Diva (-11.5),7/13/2017
,Louisville Slugger,FPDVD11-27,2027 DIVA (-11),11/16/2025
,Louisville Slugger,FPDVD115-20,Diva 20 (-11.5),3/18/2019
,Louisville Slugger,FPDVD115-22,Diva,3/4/2022
,Louisville Slugger,FPDVD115-25,25 Diva (-11.5),2/2/2024
,Louisville Slugger,FPE106,LXT Hyper,2/12/2016
,Louisville Slugger,FPE107,Xeno Plus,2/12/2016
,Louisville Slugger,FPE108,Xeno Plus,2/12/2016
,Louisville Slugger,FPE109,LXT Hyper,2/12/2016
,Louisville Slugger,FPE56,,11/6/2008
,Louisville Slugger,FPE57,,11/6/2008
,Louisville Slugger,FPE67,,11/6/2008
,Louisville Slugger,FPE69,,11/6/2008
,Louisville Slugger,FPKR2D10L-27,2027 KRYO2 (-10),10/13/2025
