USA SOFTBALL TESTING & CERTIFICATION PROGRAM,,,,
Certified Bats,,,,
#ERROR!,Click here to select all by type,,,
,,,,
,,,,
Type,Manufacturer,Model,Description,"Last
Update"
,Axe Bat,L150B-A,Avenge,4/9/2015
,Axe Bat,L150B-C,Avenge,4/9/2015
,Axe Bat,L150C,Avenge,7/22/2015
,Axe Bat,L150E,Avenge,3/17/2016
,Axe Bat,L150E-A,Avenge,6/4/2018
,Axe Bat,L150G,Avenge,6/20/2018
,Axe Bat,L150H,Avenge,9/10/2019
,Axe Bat,L150HP,Avenge,5/23/2021
,Axe Bat,L151F,Element,5/26/2017
,Axe Bat,L151G,Element,9/5/2019
,Axe Bat,L151H,Element,9/5/2019
,Axe Bat,L151J,Element,4/8/2022
,Axe Bat,L154B,Avenge,7/22/2015
,Axe Bat,L154E,Avenge,3/17/2016
,Axe Bat,L154E-99BATS,Avenge,10/9/2017
,Axe Bat,L154E-A,Avenge,10/9/2017
,Axe Bat,L154K,Inferno,2/26/2024
,Axe Bat,L155,Axe Avenge,12/12/2011
,Axe Bat,L155A,Axe Avenge,10/3/2013
,Axe Bat,L155H,Avenge,9/10/2019
,Axe Bat,L155J,Avenge Power Gap,9/2/2020
,Axe Bat,L155K-E-FLR,Scorch Enloaded,2/26/2024
,Axe Bat,L155M-E-FLR,Scorch Endloaded,2/18/2025
,Axe Bat,L155M-FLR,Scorch,2/26/2024
,Axe Bat,L155P-E-FLR,DISTURBANCE ENDLOADED,3/6/2025
,Axe Bat,L155P-FLR,DISTURBANCE,3/6/2025
,Axe Bat,L155Q-E-FLR,Disturbance Endloaded,2/3/2026
,Axe Bat,L155Q-FLR,Disturbance,2/3/2026
,Axe Bat,L158J,Avenge Pro Power Gap,11/5/2020
,Axe Bat,L158JR,Avenge Pro Infrared,10/23/2023
,Axe Bat,L158M,Avenge Pro 3,1/2/2024
,Axe Bat,L158M-FLR,Avenge Pro 3,1/2/2024
,Axe Bat,L169F,Avenge,10/9/2017
,Axe Bat,L169G,Avenge Lite,6/4/2018
,Axe Bat,L169H,Avenge Lite,9/10/2019
,Axe Bat,L182G,Avenge,11/14/2018
,Axe Bat,L190,Composite Maple,11/14/2018
,Axe Bat,L191F-34,Maple Slow Pitch,6/4/2018
,Axe Bat,L193J,Avenge Pro,9/2/2020
,Axe Bat,L193JP,Avenge Pro Infrared,4/8/2022
,Axe Bat,L193K,Avenge Pro,4/8/2022
,Axe Bat,L193KJ,Recon Max,1/23/2023
,Axe Bat,L193KJ-E,Recon Max Endloaded,1/23/2023
,Axe Bat,L193KU,Unicorn Sports 365,2/20/2023
,Axe Bat,L193M,Inferno,2/26/2024
,Axe Bat,L193M-E-FLR,Inferno End Loaded,2/26/2024
